Day,bitcoin: (Worldwide),Ethereum: (Worldwide),Litecoin: (Worldwide),Ripple: (Worldwide)
1/1/18,46,4,3,17
1/2/18,54,8,4,22
1/3/18,54,8,4,33
1/4/18,52,10,5,42
1/5/18,52,8,4,33
1/6/18,46,7,5,22
1/7/18,45,9,4,19
1/8/18,51,11,4,25
1/9/18,48,10,4,23
1/10/18,50,12,4,24
1/11/18,56,10,3,23
1/12/18,46,8,3,16
1/13/18,41,8,3,12
1/14/18,37,7,3,11
1/15/18,38,7,2,11
1/16/18,75,10,4,18
1/17/18,100,11,4,17
1/18/18,69,8,3,14
1/19/18,51,6,2,10
1/20/18,42,5,2,8
1/21/18,38,5,2,7
1/22/18,46,5,2,8
1/23/18,44,5,2,8
1/24/18,41,5,2,7
1/25/18,38,5,2,6
1/26/18,39,4,2,6
1/27/18,32,4,2,5
1/28/18,31,5,2,5
1/29/18,32,5,2,6
1/30/18,36,4,2,6
1/31/18,38,5,2,6
2/1/18,49,5,2,7
2/2/18,64,6,2,8
2/3/18,43,4,2,6
2/4/18,37,4,3,5
2/5/18,64,6,2,6
2/6/18,81,6,2,7
2/7/18,51,4,2,6
2/8/18,43,4,2,5
2/9/18,38,3,2,5
2/10/18,30,3,2,6
2/11/18,27,3,1,5
2/12/18,31,3,1,5
2/13/18,28,3,1,4
2/14/18,29,3,5,5
2/15/18,31,3,4,5
2/16/18,27,3,3,4
2/17/18,26,3,3,5
2/18/18,27,3,4,4
2/19/18,25,3,3,4
2/20/18,28,3,4,4
2/21/18,28,3,3,4
2/22/18,26,3,2,4
2/23/18,23,2,2,3
2/24/18,20,2,1,3
2/25/18,19,2,2,3
2/26/18,21,2,2,3
2/27/18,22,2,2,3
2/28/18,21,2,1,3
3/1/18,19,2,1,3
3/2/18,19,2,1,3
3/3/18,19,2,1,3
3/4/18,17,2,1,3
3/5/18,19,2,1,5
3/6/18,19,2,1,4
3/7/18,22,2,1,3
3/8/18,22,2,1,3
3/9/18,24,2,1,3
3/10/18,17,2,1,2
3/11/18,17,2,1,2
3/12/18,20,2,1,3
3/13/18,19,2,1,3
3/14/18,22,2,1,3
3/15/18,24,2,1,3
3/16/18,20,2,1,3
3/17/18,18,2,1,2
3/18/18,22,3,1,3
3/19/18,21,2,1,3
3/20/18,19,2,1,3
3/21/18,19,2,1,2
3/22/18,18,2,1,2
3/23/18,17,2,1,2
3/24/18,15,1,1,2
3/25/18,15,2,1,2
3/26/18,20,2,1,2
3/27/18,19,2,1,2
3/28/18,17,2,1,3
