,date,btc_price,eth_price,ltc_price,name,total,price,open,high,low,vol,change
293,5/29/16,527.48,12.11,4.69,7082.0,4327352.0,,,,,,
294,5/30/16,528.47,12.33,4.63,7087.0,4334439.0,,,,,,
295,5/31/16,534.19,12.74,4.69,7089.0,4341528.0,,,,,,
296,6/1/16,531.11,14.11,4.65,7093.0,4348621.0,,,,,,
297,6/2/16,536.51,13.99,4.74,,,,,,,,
298,6/3/16,537.68,13.74,4.72,7094.0,4355715.0,,,,,,
299,6/4/16,569.71,13.86,4.86,7098.0,4362813.0,,,,,,
300,6/5/16,573.31,13.76,4.8,7104.0,4369917.0,,,,,,
301,6/6/16,574.6,14.0,4.81,7106.0,4377023.0,,,,,,
302,6/7/16,585.45,13.95,4.95,7108.0,4384131.0,,,,,,
303,6/8/16,577.17,14.51,4.77,7109.0,4391240.0,,,,,,
304,6/9/16,582.2,14.43,4.78,7112.0,4398352.0,,,,,,
305,6/10/16,575.84,14.38,4.75,7114.0,4405466.0,,,,,,
306,6/11/16,578.67,13.91,4.88,7115.0,4412581.0,,,,,,
307,6/12/16,609.68,14.19,5.07,7117.0,4419698.0,,,,,,
308,6/13/16,671.65,15.77,5.41,7124.0,4426822.0,,,,,,
309,6/14/16,704.5,17.61,5.31,7127.0,4433949.0,,,,,,
310,6/15/16,685.68,18.91,5.22,7131.0,4441080.0,,,,,,
311,6/16/16,696.52,18.36,5.25,7136.0,4448216.0,,,,,,
312,6/17/16,768.49,20.65,5.67,,,,,,,,
313,6/18/16,748.76,15.38,5.6,7137.0,4455353.0,,,,,,
314,6/19/16,756.69,11.17,5.56,7140.0,4462493.0,,,,,,
315,6/20/16,763.93,12.24,5.63,7141.0,4469634.0,,,,,,
316,6/21/16,735.88,11.82,5.27,7145.0,4476779.0,,,,,,
317,6/22/16,665.91,13.2,4.83,7148.0,4483927.0,,,,,,
318,6/23/16,597.44,13.22,3.92,,,,,,,,
319,6/24/16,625.58,13.68,3.85,,,,,,,,
320,6/25/16,665.28,14.3,4.27,7149.0,4491076.0,,,,,,
321,6/26/16,665.93,14.26,4.24,7151.0,4498227.0,,,,,,
