Day,cyber attack
4/9/17,1
4/10/17,1
4/11/17,1
4/12/17,1
4/13/17,1
4/14/17,1
4/15/17,1
4/16/17,1
4/17/17,2
4/18/17,2
4/19/17,1
4/20/17,1
4/21/17,1
4/22/17,1
4/23/17,1
4/24/17,1
4/25/17,1
4/26/17,1
4/27/17,1
4/28/17,1
4/29/17,1
4/30/17,1
5/1/17,1
5/2/17,1
5/3/17,1
5/4/17,1
5/5/17,1
5/6/17,1
5/7/17,1
5/8/17,1
5/9/17,1
5/10/17,1
5/11/17,1
5/12/17,80
5/13/17,100
5/14/17,55
5/15/17,98
5/16/17,39
5/17/17,15
5/18/17,7
5/19/17,4
5/20/17,2
5/21/17,2
5/22/17,2
5/23/17,2
5/24/17,2
5/25/17,1
5/26/17,2
5/27/17,3
5/28/17,2
5/29/17,2
5/30/17,2
5/31/17,1
6/1/17,2
6/2/17,1
6/3/17,1
6/4/17,1
6/5/17,1
6/6/17,1
6/7/17,1
6/8/17,1
6/9/17,1
6/10/17,1
6/11/17,1
6/12/17,1
6/13/17,1
6/14/17,1
6/15/17,2
6/16/17,2
6/17/17,0.1
6/18/17,0.1
6/19/17,1
6/20/17,1
6/21/17,1
6/22/17,1
6/23/17,1
6/24/17,4
6/25/17,2
6/26/17,2
6/27/17,55
6/28/17,52
6/29/17,17
6/30/17,9
7/1/17,79
7/2/17,66
7/3/17,100
7/4/17,74
7/5/17,82
7/6/17,85
7/7/17,59
7/8/17,23
7/9/17,22
7/10/17,42
7/11/17,52
7/12/17,45
7/13/17,29
7/14/17,28
7/15/17,22
7/16/17,20
7/17/17,38
7/18/17,31
7/19/17,33
7/20/17,29
7/21/17,28
7/22/17,12
7/23/17,16
7/24/17,31
7/25/17,28
7/26/17,31
7/27/17,22
7/28/17,25
7/29/17,9
7/30/17,22
7/31/17,24
8/1/17,26
8/2/17,37
8/3/17,33
8/4/17,25
8/5/17,19
8/6/17,24
8/7/17,21
8/8/17,26
8/9/17,25
8/10/17,18
8/11/17,19
8/12/17,8
8/13/17,18
8/14/17,23
8/15/17,21
8/16/17,26
8/17/17,21
8/18/17,19
8/19/17,6
8/20/17,14
8/21/17,22
8/22/17,25
8/23/17,38
8/24/17,28
8/25/17,32
8/26/17,9
8/27/17,8
8/28/17,22
8/29/17,17
8/30/17,27
8/31/17,20
9/1/17,19
9/2/17,13
9/3/17,14
9/4/17,27
9/5/17,21
9/6/17,34
9/7/17,32
9/8/17,42
9/9/17,18
9/10/17,15
9/11/17,27
9/12/17,27
9/13/17,24
9/14/17,19
9/15/17,20
9/16/17,14
9/17/17,18
9/18/17,25
9/19/17,28
9/20/17,34
9/21/17,23
9/22/17,20
9/23/17,14
9/24/17,19
9/25/17,98
9/26/17,83
9/27/17,55
9/28/17,44
9/29/17,33
9/30/17,10
10/1/17,33
10/2/17,43
10/3/17,74
10/4/17,60
10/5/17,67
10/6/17,54
10/7/17,21
10/8/17,30
10/9/17,39
10/10/17,68
10/11/17,100
10/12/17,42
10/13/17,62
10/14/17,36
10/15/17,28
10/16/17,65
10/17/17,55
10/18/17,53
10/19/17,38
10/20/17,28
10/21/17,42
10/22/17,25
10/23/17,52
10/24/17,54
10/25/17,85
10/26/17,45
10/27/17,41
10/28/17,35
10/29/17,23
10/30/17,48
10/31/17,68
11/1/17,54
11/2/17,41
11/3/17,55
11/4/17,16
11/5/17,36
11/6/17,69
11/7/17,55
11/8/17,46
11/9/17,60
11/10/17,25
11/11/17,23
11/12/17,18
11/13/17,72
11/14/17,49
11/15/17,63
11/16/17,57
11/17/17,39
11/18/17,27
11/19/17,33
11/20/17,49
11/21/17,51
11/22/17,56
11/23/17,39
11/24/17,47
11/25/17,32
11/26/17,44
11/27/17,52
11/28/17,70
11/29/17,37
11/30/17,58
12/1/17,27
12/2/17,11
12/3/17,36
12/4/17,37
12/5/17,55
12/6/17,38
12/7/17,46
12/8/17,37
12/9/17,33
12/10/17,54
12/11/17,52
12/12/17,41
12/13/17,37
12/14/17,47
12/15/17,33
12/16/17,23
12/17/17,35
12/18/17,24
12/19/17,88
12/20/17,46
12/21/17,41
12/22/17,24
12/23/17,10
12/24/17,18
12/25/17,10
12/26/17,16
12/27/17,26
12/28/17,15
12/29/17,11
12/30/17,16
12/31/17,20
1/8/18,20
1/9/18,25
1/10/18,18
1/11/18,24
1/12/18,19
1/13/18,11
1/14/18,9
1/15/18,27
1/16/18,21
1/17/18,29
1/18/18,32
1/19/18,21
1/20/18,12
1/21/18,17
1/22/18,30
1/23/18,34
1/24/18,42
1/25/18,27
1/26/18,24
1/27/18,13
1/28/18,8
1/29/18,30
1/30/18,21
1/31/18,19
2/1/18,21
2/2/18,19
2/3/18,9
2/4/18,20
2/5/18,19
2/6/18,31
2/7/18,28
2/8/18,19
2/9/18,22
2/10/18,26
2/11/18,25
2/12/18,35
2/13/18,30
2/14/18,32
2/15/18,28
2/16/18,25
2/17/18,11
2/18/18,12
2/19/18,20
2/20/18,21
2/21/18,26
2/22/18,27
2/23/18,24
2/24/18,8
2/25/18,17
2/26/18,27
2/27/18,27
2/28/18,30
3/1/18,31
3/2/18,25
3/3/18,24
3/4/18,17
3/5/18,28
3/6/18,23
3/7/18,24
3/8/18,28
3/9/18,17
3/10/18,12
3/11/18,17
3/12/18,20
3/13/18,40
3/14/18,29
3/15/18,33
3/16/18,41
3/17/18,29
3/18/18,22
3/19/18,27
3/20/18,16
3/21/18,26
3/22/18,66
3/23/18,100
3/24/18,35
3/25/18,15
3/26/18,42
3/27/18,42
3/28/18,75
,
,
,
,
,
,
,
,
