,date,btc_yearly,btc_per
923,2/12/18,,31
924,2/13/18,,28
925,2/14/18,,29
926,2/15/18,,31
927,2/16/18,,27
928,2/17/18,,26
929,2/19/18,,25
930,2/20/18,,28
931,2/21/18,,28
932,2/22/18,,26
933,2/23/18,,23
934,2/24/18,,20
935,2/26/18,,21
936,2/27/18,,22
937,2/28/18,,21
938,3/1/18,,19
939,3/2/18,,19
940,3/3/18,,19
941,3/5/18,,19
942,3/6/18,,19
943,3/7/18,,22
944,3/8/18,,22
945,3/9/18,,24
946,3/10/18,,17
947,3/12/18,,20
948,3/13/18,,19
949,3/14/18,,22
950,3/15/18,,24
951,3/16/18,,20
952,3/17/18,,18
953,3/19/18,,21
954,3/20/18,,19
955,3/21/18,,19
956,3/22/18,,18
957,3/23/18,,17
958,3/24/18,,15
959,3/26/18,,20
960,3/27/18,,19
961,3/28/18,,17
