count,date,btc_index,eth_per,ltc_per,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,count_vendors,sum,txVolume(USD)_e_e,txCount_e_e,marketcap(USD)_e_e,price(USD)_e_e,exchangeVolume(USD)_e_e,generatedCoins_e_e,fees_e_e,activeAddresses_e_e,txVolume(USD)_l,txCount_l,marketcap(USD)_l,price(USD)_l,exchangeVolume(USD)_l,generatedCoins_l,fees_l,activeAddresses_l,Price_futures,VIX Close,cyber_attack_index,hashrate,diff,dum_future,btc_per,cyber_attack
34,1/14/18,37,7,3,12266702310,234890,2.41E+11,14370.8,11084100000,1937.5,491.3244648,null,11,11434,34772491599,1081593,1.36E+11,1397.48,4841630000,21025.875,2236.838276,579714,2196018583,88779,14265000000,260.58,886415000,15750,109.8890558,null,"13,700",10.16,9,16501289.11,2.13E+12,1,2109,27
35,1/15/18,38,7,2,13172946669,273473,2.31E+11,13767.3,12750800000,1875,510.1176178,null,14,11448,16006341545,1206420,1.32E+11,1365.21,4781100000,20413.875,2227.026798,694739,1702216665,90381,12993700000,237.29,601770000,13975,117.0398274,null,"13,570",10.16,27,17165770.55,2.23E+12,1,2166,81
36,1/16/18,75,10,4,28204175767,303566,2.33E+11,13836.1,18853800000,1987.5,606.3824601,null,14,11462,19751150384,1277936,1.25E+11,1292.63,8405140000,20887.59375,2229.81191,719093,2348522411,117447,12752100000,232.82,1405070000,15350,146.2436026,null,"11,055",11.66,21,16612036.02,2.23E+12,1,4275,63
37,1/17/18,100,11,4,17637597012,315604,1.92E+11,11431.1,18830600000,2087.5,675.0966865,null,11,11473,16995470507,1277083,1.03E+11,1061.34,8545160000,20843.25,2069.225744,703314,1563652132,113111,10417800000,190.15,1422490000,15100,148.5842039,null,"11,055",11.91,29,17608758.18,2.23E+12,1,5700,87
38,1/18/18,69,8,3,15128920554,309322,1.88E+11,11198.8,15020400000,2162.5,656.8975354,null,9,11482,14016567260,1205184,98642100000,1016.44,5938320000,20549.0625,2153.066739,669433,1408148569,95276,10245500000,186.95,936784000,14625,121.2156036,null,"11,765",12.22,32,18494733.44,2.23E+12,1,3933,96
39,1/19/18,51,6,2,11760289034,243454,1.92E+11,11429.8,10740400000,2062.5,491.4899943,null,23,11505,9405274223,1043257,99863900000,1028.82,4084450000,20638.6875,1866.326524,529465,868830132,70009,10480800000,191.19,560284000,14750,97.42426049,null,"11,400",11.27,21,19159214.88,2.23E+12,1,2907,63
40,1/20/18,42,5,2,10643662158,240433,1.96E+11,11656.2,11801700000,2225,429.4031975,null,17,11522,8161104134,984489,1.01E+11,1044.95,3975190000,20760.9375,1776.83102,450907,774985627.5,66798,10658300000,194.38,540786000,14475,86.79967949,null,"11,495",11.27,12,18273239.62,2.23E+12,1,2394,36
41,1/21/18,38,5,2,9135857725,215435,2.17E+11,12889.2,9935180000,2337.5,343.3626963,null,8,11530,8620990345,1006530,1.12E+11,1155.68,3378090000,20274.65625,1323.960385,582462,651386353.5,55466,11585700000,211.24,463516000,14100,74.97143,null,"11,590",11.27,17,19712949.41,2.23E+12,1,1406,51
42,1/22/18,46,5,2,11990946776,245395,1.96E+11,11633.1,10537400000,2087.5,314.6125395,null,15,11545,9436835033,972911,1.03E+11,1055.35,3810100000,20564.625,1196.762657,496788,743153842,61730,10521900000,191.79,494091000,14550,83.96600813,null,"10,215",11.03,30,20709671.57,2.23E+12,1,1702,90
43,1/23/18,44,5,2,11920415582,271759,1.84E+11,10944.5,9660610000,2212.5,285.9580052,null,11,11556,8648758338,928494,97554300000,1004.17,3556700000,20488.3125,1439.10428,459296,534811147,59717,9892990000,180.28,441765000,14300,83.39240562,null,"10,975",11.1,34,18494733.44,2.23E+12,1,1628,102
44,1/24/18,41,5,2,11955565338,250247,1.83E+11,10903.4,9940990000,2200,283.498099,null,11,11567,8507204809,913668,95952700000,987.48,3944040000,20575.40625,1292.593055,438353,945719807.7,59072,9793780000,178.43,375949000,14825,81.27281883,null,"11,195",11.47,42,19602202.5,2.23E+12,1,1517,126
45,1/25/18,38,5,2,9754662057,236422,1.92E+11,11421.7,8873170000,1975,220.8544664,null,12,11579,4363645979,788515,1.03E+11,1063.22,4050190000,20337.5625,1058.460298,358124,726123359.5,61836,9968750000,181.56,363138000,14400,80.38271757,null,"11,300",11.58,27,19491455.6,2.23E+12,1,1406,81
46,1/26/18,39,4,2,11742366541,220304,1.89E+11,11256,9746200000,1937.5,209.132216,null,10,11589,10486316063,953429,1.02E+11,1052.7,3617690000,20401.03125,958.7589109,463443,826360183.3,57452,9875590000,179.82,375477000,16325,81.52443368,null,"10,940",11.08,24,20445148.56,2.46E+12,1,1443,72
