,Day,cyber attack,date,btc_per,eth_per,ltc_per,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,count,sum,txVolume(USD)_e_e,txCount_e_e,marketcap(USD)_e_e,price(USD)_e_e,exchangeVolume(USD)_e_e,generatedCoins_e_e,fees_e_e,activeAddresses_e_e,txVolume(USD)_l,txCount_l,marketcap(USD)_l,price(USD)_l,exchangeVolume(USD)_l,generatedCoins_l,fees_l,activeAddresses_l,Price_futures,Open_futures,High_futures,Low_futures,Vol._futures,Change %_futures
906,2/8/18,19.0,2018-02-08,43.0,4.0,2.0,7389507379.63,173158,128714000000.0,7637.86,9346750000.0,1637.5,87.98500449,null,5.0,11714.0,2760098148.37,681344,73676900000.0,755.84,3708190000.0,20382.09375,654.747657377,320195,551998188.869,37148,7624630000.0,138.34,869207000.0,15700.0,60.348899449899996,null,"8,280","8,190","8,660","7,560",4.28K,0.18
907,2/9/18,22.0,2018-02-09,38.0,3.0,2.0,7502707124.25,177725,139412000000.0,8271.84,6784820000.0,1687.5,88.36425123,null,18.0,11732.0,4217831832.95,789807,79799300000.0,818.48,2495820000.0,20271.75,702.094308269,370461,557879744.742,44811,8254980000.0,149.73,722205000.0,14775.0,75.34250322,null,"8,600","8,200","8,730","7,700",3.91K,3.86
909,2/11/18,25.0,2018-02-11,27.0,3.0,1.0,9520593484.72,147057,145245000000.0,8616.13,6122190000.0,1887.5,61.96458348,null,2.0,11736.0,3435390406.05,773496,83813000000.0,859.29,2486650000.0,20119.40625,646.192856431,347348,509249175.666,36009,8571530000.0,155.39,495720000.0,14600.0,59.68257197,null,"8,070","8,300","8,380","8,070",0,-6.16
910,2/12/18,35.0,2018-02-12,31.0,3.0,1.0,11113984444.6,186752,137258000000.0,8141.43,6256440000.0,2075.0,69.96971094,null,4.0,11740.0,3809068383.99,829020,79754400000.0,817.51,2243450000.0,20490.84375,642.81452428,395976,386277395.41300005,40374,8282050000.0,150.1,535710000.0,14625.0,63.8652649,null,"8,835","8,320","8,900","8,010",3.27K,9.48
911,2/13/18,30.0,2018-02-13,28.0,3.0,1.0,8924752164.74,182820,150516000000.0,8926.72,5696720000.0,2050.0,68.57325292,null,12.0,11752.0,5603860692.56,745822,84824200000.0,869.29,2081170000.0,20444.4375,631.47010946,337582,2742799230.62,41515,8928360000.0,161.78,483468000.0,15100.0,64.96108846,null,"8,685","8,840","8,970","8,340",3.29K,-1.7
912,2/14/18,32.0,2018-02-14,29.0,3.0,5.0,9585133737.85,196238,145023000000.0,8599.92,7909820000.0,2237.5,63.7584692601,null,6.0,11758.0,4132727550.27,746384,82400600000.0,844.28,2818370000.0,20052.5625,642.037200275,356928,1113145418.73,62134,8809590000.0,159.58,2383340000.0,14575.0,105.88242017,null,"8,685","8,610","9,400","8,470",2.14K,0.0
913,2/15/18,28.0,2018-02-15,31.0,3.0,4.0,9046158952.15,198052,160025000000.0,9488.32,9062540000.0,1637.5,64.08005499,null,8.0,11766.0,5083084029.26,777318,90173300000.0,923.73,2900100000.0,20603.53125,634.59707879,369499,1940812798.63,64146,11725700000.0,212.35,2087290000.0,14600.0,107.95898017,null,"10,095","9,350","10,220","9,310",5.75K,16.23
914,2/16/18,25.0,2018-02-16,27.0,3.0,3.0,6879188520.01,187581,170960000000.0,10135.7,7296160000.0,1962.5,58.25713445,null,10.0,11776.0,4069546921.54,704758,91272100000.0,934.79,2369450000.0,20377.125,601.582134923,312693,944142622.459,55687,12455300000.0,225.5,1300090000.0,14525.0,81.5280259399,null,"10,135","10,060","10,320","9,740",4.23K,0.4
916,2/18/18,12.0,2018-02-18,27.0,3.0,4.0,14588036498.5,159333,187663000000.0,11123.4,8744010000.0,2025.0,44.5832808101,null,9.0,11787.0,4050398618.96,756092,95077100000.0,973.35,2567290000.0,20346.09375,766.14504792,314608,2004310691.74,75280,12738800000.0,230.51,1011120000.0,14925.0,114.95309574,null,"10,390","10,150","10,640","10,150",0,2.52
917,2/19/18,20.0,2018-02-19,25.0,3.0,3.0,15274937955.0,187205,178055000000.0,10552.6,7652090000.0,2025.0,50.9081119001,null,9.0,11796.0,3515123303.56,811384,90047700000.0,921.67,2169020000.0,20427.375,656.179260443,356302,686853661.998,55631,11907900000.0,215.41,767597000.0,13950.0,91.2252376199,null,"11,210","10,390","11,270","10,330",0,7.89
918,2/20/18,21.0,2018-02-20,28.0,3.0,4.0,11256696602.2,198314,189536000000.0,11231.8,9926540000.0,1762.5,52.23072575,null,9.0,11805.0,4203523591.4,886897,92206500000.0,943.57,2545260000.0,20407.3125,745.4169636419999,378453,746941071.9530001,57841,12335100000.0,223.09,1739670000.0,14650.0,97.08622136,null,"11,685","10,440","11,800","10,330",8.39K,4.24
919,2/21/18,26.0,2018-02-21,28.0,3.0,3.0,12215613119.1,205032,191927000000.0,11372.2,9405340000.0,2112.5,40.68256761,null,10.0,11815.0,3894221425.32,850504,87394200000.0,894.13,2531730000.0,20670.5625,741.308287977,351754,678587623.017,47113,12773200000.0,230.95,1195820000.0,14750.0,78.77866681,null,"10,340","11,710","11,770","10,180",8.65K,-11.51
920,2/22/18,27.0,2018-02-22,26.0,3.0,2.0,12015582851.9,183086,179936000000.0,10660.4,8040080000.0,1862.5,37.60222865,null,5.0,11820.0,4813951400.83,761893,83025800000.0,849.26,2150370000.0,20403.09375,614.720011617,329591,1048006594.38,43229,11774800000.0,212.84,974379000.0,14800.0,74.0882027101,null,"10,015","10,330","10,850","9,700",6.78K,-3.14
921,2/23/18,24.0,2018-02-23,23.0,2.0,2.0,7347626606.17,185045,167746000000.0,9937.07,7739500000.0,1850.0,73.94810594,null,9.0,11829.0,2561777240.19,733084,79358900000.0,811.59,2334820000.0,20661.0,626.4113855209999,315849,613925198.579,41534,10746100000.0,194.19,1065680000.0,15075.0,71.16945129999999,null,"9,920","9,860","10,340","9,530",6.59K,-0.95
